csv_sku,matched_mfr_number,matched_from_field,name,row_type,image_position,image_url,url_basis
4-714,4-714,sku,Gooseneck,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx714xx1.jpg,sku_mfr_main_image_candidate_only
4-715,4-715,sku,Box Filler,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx715xx1.jpg,sku_mfr_main_image_candidate_only
4-741,4-741,sku,Compound Tube,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx741xx1.jpg,sku_mfr_main_image_candidate_only
4-746,4-746,sku,Outside Corner Tool,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx746xx1.jpg,sku_mfr_main_image_candidate_only
4-760,4-760,sku,Automatic Taper,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx1.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx3.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx9.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx5.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,5,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx7.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,6,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx4.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,7,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx6.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,8,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx8.jpg,verified_zoro_page_gallery
4-760,4-760,sku,Automatic Taper,simple,9,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx2.jpg,verified_zoro_page_gallery
4-771,4-771,sku,Compound Pump,simple,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
