PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
,,,,,
PART #,,ASSMBLY AND MAINTENANCE KITS,,,
,,,,,
CTA14,1,Adjustable Brake Assembly, $38.25 ,,
CT11,,Mud Gate Plate,,,
CT14,1,Adjustable Brake Holder,,,
CT14A,1,Adjustable Brake,,,
FA228,1,#6 Flat Washer,,,
FA239,1,6-32 x ¼” Binder Slot,,,
FA277,1,#6 Belleville Washer,,,
FA285,1,¼ x ½” Plastic Washer,,,
,,,,,
CTA41,1,Cutter Block Assembly, $113.56 ,,
CT41,1,Knife Retainer Block,,,
CT41A,1,Knife Retainer Cap,,,
CT42A,1,Diamond Blade,,,
CT43,2,Micro Chain,,,
FA200,2,1/16” x ¼” Split Pin,,,
FA214,1,4/40 x ¼” Flat Slot,,,
,,,,,
CTA47,1,Crimping Arm Assembly (Formerly CTA-48), $152.41 ,,
CT47,1,Crimping Wheel,,,
CT48,1,Crimping Arm – Left,,,
CT49,1,Crimping Arm – Right,,,
CT50,1,Crimping Wheel Bushing,,,
CT51,1,Spacer Bar,,,
FA241,2,6-32 x 3/8” Binder Slot,,,
FA253,2,#8 Flat Washer,,,
FA254,1,8-32 Nyloc Nut,,,
FA267,1,8-32 x 1 ½” Pan Slot,,,
,,,,,
CTA57,1,Tape Advance Carriage Assembly, $139.84 ,,
CT57,1,Tape Advance Carriage,,,
CT58,1,Guide Rod Bushing,,,
CT59,1,Magnet,,,
CT62,1,Needle Holding Shaft,,,
CT63,1,Needle,,,
CT64,1,Needle Return Shaft,,,
CT65,1,Needle Return Spring,,,
FA210,1,"4/40 x 3/16""  Binder Slot",,,
FA212,2,4/40 x 3/16” Truss Slot,,,
FA220,1,4-40 x ¾” Hex Bolt,,,
FA238,1,6-32 x 3/16” Fillister Slot,,,
,,,,,
CTA80,1,Manual Drive Grip Assembly, $112.37 ,,
CT79,1,Hollow Shaft,,,
CT80,1,Manual Drive Grip,,,
CT81,1,Clutch Return Spring,,,
CT82,1,Clutch Lever,,,
CT83,1,Clutch Dog,,,
FA200,1,1/16” x ¼” Split Pin,,,
FA201,2,1/16 x 3/8” Split Pin,,,
FA224,1,1/8” x 3/8” Split Pin,,,
,,,,,
CTA87-CL,1,Cam Lock Taper Cap, $181.69 ,,
CT6R,2,Removable Cap Sideplate Screw,,,
CT34-CL,2,Cam Lock Cap Side Block,,,
CT87-CL,1,Cam Lock Taper Cap,,,
CT87A,1,Bracket Base,,,
CT87-CS,1,Taper Cap Cork Seal,,,
CT88,1,Clutch Release Rod,,,
CT89,1,Release Rod Sleeve,,,
