SKU,MPN,Images,match_type,wt_sku,wt_title
S5,S5,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15538/24310/COL-CT92A_01_1__40621.1555359246.jpg,name,COLM-CT92A,Columbia Toe Kicker Cable Retainer Clip &quot;L&quot; Clip (COLM-CT92A)
S6,S6,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17773/24701/sander__24017.1647963628.jpg,proxy,COLM-CS,Columbia Sander with stainless-steel handle adapter
SB3-LEFT,SB3-LEFT,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13600/22209/COL-CTA-48_01_1__32812.1555359168.jpg,name,COLM-CTA48,Columbia Crimping Arm Assembly (Taper) (COLM-CTA48)
SB4-RIGHT,SB4-RIGHT,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13600/22209/COL-CTA-48_01_1__32812.1555359168.jpg,name,COLM-CTA48,Columbia Crimping Arm Assembly (Taper) (COLM-CTA48)
SB5,SB5,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18204/27639/sb2__69749.1633972564.png,name,COLM-SB2-40,Columbia 40 in. Replacement Blade for Tomahawk Smoothing Blade
SB6,SB6,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15160/22967/COL-AH5_01_1__38757.1555359231.jpg,name,COLM-AH5,Columbia Frame Retainer Clip / Blade Holder Stop (COLM-AH5)
SB7,SB7,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17925/26532/Tomahawk7__25535.1632410228.jpg,proxy,COLM-TSB7,"Columbia 7 in. Tomahawk Smoothing Blade is a light, durable, and highly professional wiping and finishing tool made from solid billet aluminum with an interchangeable blade"
AB40,AB40,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15600/21381/COL-CFB6_01_2__15060.1555359248.jpg,name,COLM-CFB6,Columbia Mud Supply Valve for Corner Box (COLM-CFB6)
AB41,AB41,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15600/21381/COL-CFB6_01_2__15060.1555359248.jpg,name,COLM-CFB6,Columbia Mud Supply Valve for Corner Box (COLM-CFB6)
AB42,AB42,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12457/23572/col-mp34__58790.1555359122.gif,name,COLM-MP34,Columbia Box Filler Adaptor Body (COLM-MP34)
