Brand,WC_Category,Current_SKU,Current_Name,Current_Price,Proposed_Parent_SKU,Proposed_Parent_Name,Attribute_Name,Attribute_Value,From_Price,Action,Notes
Columbia Taping Tools,Repair Kits & Parts,10ITFB,"Columbia 10"" Inside Track Fat Boy Flat Box (10ITFB)",448.82,10ITFBGROUP,Columbia Inside Track Fat Boy Flat Box,Size,"10""",$443.42,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,8ITFB,"Columbia 8"" Inside Track Fat Boy Flat Box (8ITFB)",443.42,10ITFBGROUP,Columbia Inside Track Fat Boy Flat Box,Size,"8""",$443.42,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,GCTBOXSET,"Columbia 10"" and 12"" Flat Box Combo (GCTBOXSET)",1199.00,GCTBOXSETGROUP,Columbia Flat Box Combo,Size,"10""",$1199.00,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,GCTBOXSET8/10,"Columbia 8"" and 10"" Flat Box Combo (GCTBOXSET8/10)",1999.00,GCTBOXSETGROUP,Columbia Flat Box Combo,Size,"8""",$1199.00,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,12FBBA,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box (12FBBA)",502.90,12FBBAGROUP,Columbia Fat Boy Automatic Assist Drywall Flat Box,Size,"12""",$481.27,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,8FBBA,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box (8FBBA)",481.27,12FBBAGROUP,Columbia Fat Boy Automatic Assist Drywall Flat Box,Size,"8""",$481.27,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CTK12,"Columbia 12"" Stainless Steel Comfort Grip Taping Knife (CTK12)",,CTKGROUP,Columbia Stainless Steel Comfort Grip Taping Knife,Width,"12""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CTK8,"Columbia 8"" Stainless Steel Comfort Grip Taping Knife (CTK8)",,CTKGROUP,Columbia Stainless Steel Comfort Grip Taping Knife,Width,"8""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,C14MPX6,"Columbia 14"" Mud Pan with Magnetic Grip (C14MPX6)",26.65,C14MPXGROUP,Columbia Mud Pan With Magnetic Grip,Size,"14""",$26.65,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,C16MPX6,"Columbia 16"" Mud Pan with Magnetic Grip (C16MPX6)",27.48,C14MPXGROUP,Columbia Mud Pan With Magnetic Grip,Size,"16""",$26.65,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,AH32,"Columbia 2"" Angle Head Carbide Blade (AH32)",,AHGROUP,Columbia Angle Head Carbide Blade,Width,"2""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,AH33,"Columbia 3"" Angle Head Carbide Blade (AH33)",,AHGROUP,Columbia Angle Head Carbide Blade,Width,"3""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,AHRBK25,"Columbia 2.5"" Anglehead Blade Maintenance Kit (AHRBK25)",,AHRBKGROUP,Columbia Anglehead Blade Maintenance Kit,Width,"2.5""",,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,AHRBK35,"Columbia 3.5"" Anglehead Blade Maintenance Kit (AHRBK35)",,AHRBKGROUP,Columbia Anglehead Blade Maintenance Kit,Width,"3.5""",,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,2.5DF,"Columbia 2.5"" Direct Drywall Corner Flusher (2.5DF)",127.62,2.5DFGROUP,Columbia Direct Drywall Corner Flusher,Size,"2.5""",$127.62,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,3DF,"Columbia 3"" Direct Drywall Corner Flusher (3DF)",133.02,2.5DFGROUP,Columbia Direct Drywall Corner Flusher,Size,"3""",$127.62,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,5.5FFB,"Columbia 5.5"" Drywall Flat Finisher Box (5.5FFB)",367.71,5.5FFBGROUP,Columbia Drywall Flat Finisher Box,Size,"5.5""",$367.71,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,8FFB,"Columbia 8"" Drywall Flat Finisher Box (8FFB)",389.34,5.5FFBGROUP,Columbia Drywall Flat Finisher Box,Size,"8""",$367.71,MERGE → variable product,
