rel_path,keep,reason,clean_bg,human_likely,white_trans_ratio,border_clean_ratio,skin_ratio,skin_border_ratio
tapetech_ch90tt_09.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.023682,0.066667
tapetech_ck06cstt_01.webp,True,keep_clean_bg,True,False,0.684692,0.977333,0.0,0.0
tapetech_ck06cstt_02.webp,True,keep_clean_bg,True,False,0.81665,1.0,0.0,0.0
tapetech_ck06cstt_03.webp,True,keep_clean_bg,True,False,0.894104,1.0,0.0,0.0
tapetech_ck06cstt_04.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.112549,0.054
tapetech_ck06cstt_05.webp,True,keep_clean_bg,True,False,0.834106,1.0,0.00647,0.0
tapetech_ck06cstt_06.webp,True,keep_clean_bg,True,False,0.839294,1.0,0.0,0.0
tapetech_croll02_01.webp,True,keep_clean_bg,True,False,0.925903,1.0,0.015137,0.0
tapetech_croll02_02.webp,True,keep_clean_bg,True,False,0.95166,1.0,0.013428,0.0
tapetech_croll02_03.webp,True,keep_clean_bg,True,False,0.931458,1.0,0.020081,0.0
tapetech_croll02_04.webp,True,keep_clean_bg,True,False,0.932861,1.0,0.015869,0.0
tapetech_croll02_05.webp,True,keep_clean_bg,True,False,0.939941,1.0,0.012146,0.0
tapetech_croll04_01.webp,True,keep_clean_bg,True,False,0.950684,1.0,0.004517,0.0
tapetech_croll04_02.webp,True,keep_clean_bg,True,False,0.950745,1.0,0.002747,0.0
tapetech_croll04_03.webp,True,keep_clean_bg,True,False,0.949585,1.0,0.004822,0.0
tapetech_croll04_04.webp,True,keep_clean_bg,True,False,0.950745,1.0,0.004639,0.0
tapetech_croll04_05.webp,True,keep_clean_bg,True,False,0.950806,1.0,0.002808,0.0
tapetech_croll04_06.webp,True,keep_clean_bg,True,False,0.949585,1.0,0.004822,0.0
tapetech_croll09_01.webp,True,keep_clean_bg,True,False,0.908875,1.0,0.003418,0.0
tapetech_croll09_02.webp,True,keep_clean_bg,True,False,0.906921,1.0,0.001343,0.0
tapetech_croll09_03.webp,True,keep_clean_bg,True,False,0.911804,1.0,0.00647,0.0
tapetech_croll09_04.webp,True,keep_clean_bg,True,False,0.908997,1.0,0.003418,0.0
tapetech_croll09_05.webp,True,keep_clean_bg,True,False,0.906921,1.0,0.001343,0.0
tapetech_croll09_06.webp,True,keep_clean_bg,True,False,0.911865,1.0,0.00647,0.0
tapetech_croll12_01.webp,True,keep_clean_bg,True,False,0.870422,1.0,0.002991,0.0
tapetech_croll12_02.webp,True,keep_clean_bg,True,False,0.864868,1.0,0.001709,0.0
tapetech_croll12_03.webp,True,keep_clean_bg,True,False,0.868469,1.0,0.001953,0.0
tapetech_croll12_04.webp,True,keep_clean_bg,True,False,0.870483,1.0,0.00293,0.0
tapetech_croll12_05.webp,True,keep_clean_bg,True,False,0.864929,1.0,0.001648,0.0
tapetech_croll12_06.webp,True,keep_clean_bg,True,False,0.868408,1.0,0.001953,0.0
tapetech_crollhan2_01.webp,True,keep_clean_bg,True,False,0.963806,1.0,0.0,0.0
tapetech_crollhan2_02.webp,True,keep_clean_bg,True,False,0.975647,1.0,0.0,0.0
tapetech_crollhan2_03.webp,True,keep_clean_bg,True,False,0.965393,1.0,0.0,0.0
tapetech_crollhan2_04.webp,True,keep_clean_bg,True,False,0.941101,1.0,0.006958,0.0
tapetech_crollhan2_05.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.009277,0.0
tapetech_crollhan2_06.webp,True,keep_clean_bg,True,False,0.963928,1.0,0.0,0.0
tapetech_crollhan2_07.webp,True,keep_clean_bg,True,False,0.975708,1.0,0.0,0.0
tapetech_crollhan2_08.webp,True,keep_clean_bg,True,False,0.962585,0.996,0.0,0.0
tapetech_crollhan2_09.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.009155,0.0
tapetech_ehc07_01.webp,False,remove_non_clean_bg,False,False,0.53894,0.950667,0.332031,0.016
tapetech_ehc07_02.webp,False,remove_non_clean_bg,False,False,0.367004,0.936,0.319641,0.016667
tapetech_ehc07_03.webp,True,keep_clean_bg,True,False,0.585632,0.990667,0.31134,0.001333
tapetech_ehc07_04.webp,False,remove_non_clean_bg,False,False,0.465942,0.978667,0.283569,0.002
tapetech_ehc07_05.webp,False,remove_non_clean_bg,False,False,0.414307,0.955333,0.444275,0.014
tapetech_ehc07_06.webp,False,remove_non_clean_bg,False,False,0.422302,0.968667,0.443115,0.011333
tapetech_ehc07_07.webp,True,keep_clean_bg,True,False,0.705261,1.0,0.040527,0.0
tapetech_ehc07_08.webp,True,keep_clean_bg,True,False,0.637634,1.0,0.208557,0.0
tapetech_ehc07_09.webp,False,remove_non_clean_bg,False,False,0.44928,1.0,0.409119,0.0
tapetech_ehc07_10.webp,False,remove_human_and_non_clean_bg,False,True,0.452148,0.628,0.201172,0.261333
tapetech_ehc07_11.webp,False,remove_human_and_non_clean_bg,False,True,0.3573,0.612,0.131531,0.184667
tapetech_ehc07_12.webp,False,remove_human_and_non_clean_bg,False,True,0.003906,0.007333,0.142883,0.112
tapetech_ehc07_13.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.085388,0.077333
tapetech_ehc07_14.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.164429,0.066667
