Part Identifier,Part Name,Source Dataset(s),Issue Type,Description,Suggested Action
ER2LT,ER2LT,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='ER2LT' has no SKU assigned. Name: 'ER2LT'.,Assign correct SKU to this schematic hotspot part entry.
LT06,LT06,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='LT06' has no SKU assigned. Name: 'LT06'.,Assign correct SKU to this schematic hotspot part entry.
FA21A,FA21A,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA21A' has no SKU assigned. Name: 'FA21A'.,Assign correct SKU to this schematic hotspot part entry.
NOLI,NOLI,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='NOLI' has no SKU assigned. Name: 'NOLI'.,Assign correct SKU to this schematic hotspot part entry.
PA214,PA214,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='PA214' has no SKU assigned. Name: 'PA214'.,Assign correct SKU to this schematic hotspot part entry.
CT87,Columbia Old Style Taper Cap (CT87),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT87' has no SKU assigned. Name: 'Columbia Old Style Taper Cap (CT87)'.,Assign correct SKU to this schematic hotspot part entry.
CT711A,CT711A,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT711A' has no SKU assigned. Name: 'CT711A'.,Assign correct SKU to this schematic hotspot part entry.
FRZ13,FRZ13,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FRZ13' has no SKU assigned. Name: 'FRZ13'.,Assign correct SKU to this schematic hotspot part entry.
FA199,Columbia 2-56 x 3/16 Binder Slot (FA199),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA199' has no SKU assigned. Name: 'Columbia 2-56 x 3/16 Binder Slot (FA199)'.,Assign correct SKU to this schematic hotspot part entry.
CT95,Columbia Control Valve (CT95),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT95' has no SKU assigned. Name: 'Columbia Control Valve (CT95)'.,Assign correct SKU to this schematic hotspot part entry.
CT3,Columbia Stainless Steel Right Insert Bushing (CT3),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT3' has no SKU assigned. Name: 'Columbia Stainless Steel Right Insert Bushing (CT3)'.,Assign correct SKU to this schematic hotspot part entry.
CT776,CT776,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT776' has no SKU assigned. Name: 'CT776'.,Assign correct SKU to this schematic hotspot part entry.
C779-CS,C779-CS,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='C779-CS' has no SKU assigned. Name: 'C779-CS'.,Assign correct SKU to this schematic hotspot part entry.
FR258,FR258,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FR258' has no SKU assigned. Name: 'FR258'.,Assign correct SKU to this schematic hotspot part entry.
FA22K,FA22K,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA22K' has no SKU assigned. Name: 'FA22K'.,Assign correct SKU to this schematic hotspot part entry.
PA2S4,PA2S4,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='PA2S4' has no SKU assigned. Name: 'PA2S4'.,Assign correct SKU to this schematic hotspot part entry.
FA227,FA227,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA227' has no SKU assigned. Name: 'FA227'.,Assign correct SKU to this schematic hotspot part entry.
EA200,EA200,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='EA200' has no SKU assigned. Name: 'EA200'.,Assign correct SKU to this schematic hotspot part entry.
CA239,CA239,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CA239' has no SKU assigned. Name: 'CA239'.,Assign correct SKU to this schematic hotspot part entry.
CT154,CT154,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT154' has no SKU assigned. Name: 'CT154'.,Assign correct SKU to this schematic hotspot part entry.
CT52,CT52,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT52' has no SKU assigned. Name: 'CT52'.,Assign correct SKU to this schematic hotspot part entry.
FA20A,FA20A,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA20A' has no SKU assigned. Name: 'FA20A'.,Assign correct SKU to this schematic hotspot part entry.
FA27A,FA27A,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA27A' has no SKU assigned. Name: 'FA27A'.,Assign correct SKU to this schematic hotspot part entry.
CT74,CT74,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT74' has no SKU assigned. Name: 'CT74'.,Assign correct SKU to this schematic hotspot part entry.
CT03,CT03,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT03' has no SKU assigned. Name: 'CT03'.,Assign correct SKU to this schematic hotspot part entry.
C154,C154,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='C154' has no SKU assigned. Name: 'C154'.,Assign correct SKU to this schematic hotspot part entry.
FA526,FA526,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA526' has no SKU assigned. Name: 'FA526'.,Assign correct SKU to this schematic hotspot part entry.
FAJ706,FAJ706,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FAJ706' has no SKU assigned. Name: 'FAJ706'.,Assign correct SKU to this schematic hotspot part entry.
CTS6A,CTS6A,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CTS6A' has no SKU assigned. Name: 'CTS6A'.,Assign correct SKU to this schematic hotspot part entry.
CT771,CT771,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT771' has no SKU assigned. Name: 'CT771'.,Assign correct SKU to this schematic hotspot part entry.
CT70,Columbia Drive Shaft (CT70),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT70' has no SKU assigned. Name: 'Columbia Drive Shaft (CT70)'.,Assign correct SKU to this schematic hotspot part entry.
CT69,CT69,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT69' has no SKU assigned. Name: 'CT69'.,Assign correct SKU to this schematic hotspot part entry.
FA283,FA283,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA283' has no SKU assigned. Name: 'FA283'.,Assign correct SKU to this schematic hotspot part entry.
CT58,Columbia Guide Rod Bushing (CT58),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT58' has no SKU assigned. Name: 'Columbia Guide Rod Bushing (CT58)'.,Assign correct SKU to this schematic hotspot part entry.
C159,C159,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='C159' has no SKU assigned. Name: 'C159'.,Assign correct SKU to this schematic hotspot part entry.
CT64,Columbia Needle Return Shaft (CT64),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT64' has no SKU assigned. Name: 'Columbia Needle Return Shaft (CT64)'.,Assign correct SKU to this schematic hotspot part entry.
CT02,CT02,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT02' has no SKU assigned. Name: 'CT02'.,Assign correct SKU to this schematic hotspot part entry.
FA219,Columbia 4-40 x ½ Fillister Slot (FA219),"Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json, CornerBoxes/ThrottleBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA219' has no SKU assigned. Name: 'Columbia 4-40 x ½ Fillister Slot (FA219)'.,Assign correct SKU to this schematic hotspot part entry.
CT65,Columbia Needle Return Spring (CT65),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT65' has no SKU assigned. Name: 'Columbia Needle Return Spring (CT65)'.,Assign correct SKU to this schematic hotspot part entry.
CT768,CT768,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT768' has no SKU assigned. Name: 'CT768'.,Assign correct SKU to this schematic hotspot part entry.
CT765,CT765,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT765' has no SKU assigned. Name: 'CT765'.,Assign correct SKU to this schematic hotspot part entry.
C148,C148,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='C148' has no SKU assigned. Name: 'C148'.,Assign correct SKU to this schematic hotspot part entry.
FA241,Columbia 6-32 x 3/8 Binder Slot (FA241),"Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json, CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/AutomaticFlatBox/schematic_data.json, FinishingBoxes/FatBoyBox/schematic_data.json, FinishingBoxes/FlatBox/schematic_data.json, Nailspotters/Nailspotter/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA241' has no SKU assigned. Name: 'Columbia 6-32 x 3/8 Binder Slot (FA241)'.,Assign correct SKU to this schematic hotspot part entry.
FA254,Columbia 8-32 Nyloc Nut (FA254),"Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json, Nailspotters/Nailspotter/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA254' has no SKU assigned. Name: 'Columbia 8-32 Nyloc Nut (FA254)'.,Assign correct SKU to this schematic hotspot part entry.
CT747,CT747,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT747' has no SKU assigned. Name: 'CT747'.,Assign correct SKU to this schematic hotspot part entry.
PASS9,PASS9,Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='PASS9' has no SKU assigned. Name: 'PASS9'.,Assign correct SKU to this schematic hotspot part entry.
CT31,Columbia Chain Tension & Guide Bracket (CT31),Schematic (AutomaticTapers/PredatorTaper/Head/schematic_data.json),Not Implemented,Schematic hotspot part_id='CT31' has no SKU assigned. Name: 'Columbia Chain Tension & Guide Bracket (CT31)'.,Assign correct SKU to this schematic hotspot part entry.
FA 323,FA 323,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA 323' has no SKU assigned. Name: 'FA 323'.,Assign correct SKU to this schematic hotspot part entry.
CMT 8,CMT 8,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CMT 8' has no SKU assigned. Name: 'CMT 8'.,Assign correct SKU to this schematic hotspot part entry.
FA 284,FA 284,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json, Handles/ColumbiaOne/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA 284' has no SKU assigned. Name: 'FA 284'.,Assign correct SKU to this schematic hotspot part entry.
CMT 1A-22,CMT 1A-22,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CMT 1A-22' has no SKU assigned. Name: 'CMT 1A-22'.,Assign correct SKU to this schematic hotspot part entry.
EXT 35,EXT 35,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json, Handles/ColumbiaOne/schematic_data.json, Handles/LongExtendableHandle/schematic_data.json)",Not Implemented,Schematic hotspot part_id='EXT 35' has no SKU assigned. Name: 'EXT 35'.,Assign correct SKU to this schematic hotspot part entry.
CFB 5A,CFB 5A,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json, CornerBoxes/ThrottleBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CFB 5A' has no SKU assigned. Name: 'CFB 5A'.,Assign correct SKU to this schematic hotspot part entry.
CLT 16,CLT 16,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CLT 16' has no SKU assigned. Name: 'CLT 16'.,Assign correct SKU to this schematic hotspot part entry.
CFB 5C,CFB 5C,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json, CornerBoxes/ThrottleBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CFB 5C' has no SKU assigned. Name: 'CFB 5C'.,Assign correct SKU to this schematic hotspot part entry.
CLT 13,CLT 13,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CLT 13' has no SKU assigned. Name: 'CLT 13'.,Assign correct SKU to this schematic hotspot part entry.
CLT 15,CLT 15,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CornerRollers/CornerCobra/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CLT 15' has no SKU assigned. Name: 'CLT 15'.,Assign correct SKU to this schematic hotspot part entry.
CMT 4,CMT 4,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CMT 4' has no SKU assigned. Name: 'CMT 4'.,Assign correct SKU to this schematic hotspot part entry.
CLT 14,CLT 14,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CLT 14' has no SKU assigned. Name: 'CLT 14'.,Assign correct SKU to this schematic hotspot part entry.
CLT 12,CLT 12,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CLT 12' has no SKU assigned. Name: 'CLT 12'.,Assign correct SKU to this schematic hotspot part entry.
CMT 1-24,CMT 1-24,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CMT 1-24' has no SKU assigned. Name: 'CMT 1-24'.,Assign correct SKU to this schematic hotspot part entry.
CMT 5,CMT 5,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CMT 5' has no SKU assigned. Name: 'CMT 5'.,Assign correct SKU to this schematic hotspot part entry.
FA 347,FA 347,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA 347' has no SKU assigned. Name: 'FA 347'.,Assign correct SKU to this schematic hotspot part entry.
FA 348,FA 348,Schematic (CompoundTubes/CamLockTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA 348' has no SKU assigned. Name: 'FA 348'.,Assign correct SKU to this schematic hotspot part entry.
CMT 6,CMT 6,"Schematic (CompoundTubes/CamLockTube/schematic_data.json, CompoundTubes/CompoundTube/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CMT 6' has no SKU assigned. Name: 'CMT 6'.,Assign correct SKU to this schematic hotspot part entry.
"CMT1A-24""","CMT1A-24""",Schematic (CompoundTubes/CompoundTube/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CMT1A-24""' has no SKU assigned. Name: 'CMT1A-24""'.",Assign correct SKU to this schematic hotspot part entry.
CFB5B,CFB5B,"Schematic (CompoundTubes/CompoundTube/schematic_data.json, CornerBoxes/ThrottleBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CFB5B' has no SKU assigned. Name: 'CFB5B'.,Assign correct SKU to this schematic hotspot part entry.
CMT2,CMT2,Schematic (CompoundTubes/CompoundTube/schematic_data.json),Not Implemented,Schematic hotspot part_id='CMT2' has no SKU assigned. Name: 'CMT2'.,Assign correct SKU to this schematic hotspot part entry.
"CMT1-24""","CMT1-24""",Schematic (CompoundTubes/CompoundTube/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CMT1-24""' has no SKU assigned. Name: 'CMT1-24""'.",Assign correct SKU to this schematic hotspot part entry.
"CFB1 8""","CFB1 8""",Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CFB1 8""' has no SKU assigned. Name: 'CFB1 8""'.",Assign correct SKU to this schematic hotspot part entry.
FFB32,FFB32,"Schematic (CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/FlatBox/schematic_data.json, Nailspotters/Nailspotter/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FFB32' has no SKU assigned. Name: 'FFB32'.,Assign correct SKU to this schematic hotspot part entry.
FA280,FA280,"Schematic (CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/FatBoyBox/schematic_data.json, FinishingBoxes/FlatBox/schematic_data.json, Nailspotters/Nailspotter/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA280' has no SKU assigned. Name: 'FA280'.,Assign correct SKU to this schematic hotspot part entry.
"CFB3 8""","CFB3 8""",Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CFB3 8""' has no SKU assigned. Name: 'CFB3 8""'.",Assign correct SKU to this schematic hotspot part entry.
AB45,AB45,"Schematic (CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/AutomaticFlatBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='AB45' has no SKU assigned. Name: 'AB45'.,Assign correct SKU to this schematic hotspot part entry.
AB49,AB49,"Schematic (CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/AutomaticFlatBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='AB49' has no SKU assigned. Name: 'AB49'.,Assign correct SKU to this schematic hotspot part entry.
FA242,FA242,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA242' has no SKU assigned. Name: 'FA242'.,Assign correct SKU to this schematic hotspot part entry.
CFB6,CFB6,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='CFB6' has no SKU assigned. Name: 'CFB6'.,Assign correct SKU to this schematic hotspot part entry.
AB44,AB44,"Schematic (CornerBoxes/ThrottleBox/schematic_data.json, FinishingBoxes/AutomaticFlatBox/schematic_data.json)",Not Implemented,Schematic hotspot part_id='AB44' has no SKU assigned. Name: 'AB44'.,Assign correct SKU to this schematic hotspot part entry.
AB44A,AB44A,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='AB44A' has no SKU assigned. Name: 'AB44A'.,Assign correct SKU to this schematic hotspot part entry.
AB44B,AB44B,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='AB44B' has no SKU assigned. Name: 'AB44B'.,Assign correct SKU to this schematic hotspot part entry.
FA263,FA263,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA263' has no SKU assigned. Name: 'FA263'.,Assign correct SKU to this schematic hotspot part entry.
FA309,FA309,Schematic (CornerBoxes/ThrottleBox/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA309' has no SKU assigned. Name: 'FA309'.,Assign correct SKU to this schematic hotspot part entry.
"CF TS-3.5""","CF TS-3.5""",Schematic (CornerFlushers/ComboFlusher/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CF TS-3.5""' has no SKU assigned. Name: 'CF TS-3.5""'.",Assign correct SKU to this schematic hotspot part entry.
CF 3,CF 3,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 3' has no SKU assigned. Name: 'CF 3'.,Assign correct SKU to this schematic hotspot part entry.
FA 324,FA 324,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json, SemiAutomaticTapers/SemiAutomaticTaper/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA 324' has no SKU assigned. Name: 'FA 324'.,Assign correct SKU to this schematic hotspot part entry.
"CF 5-3.5""","CF 5-3.5""","Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json)",Not Implemented,"Schematic hotspot part_id='CF 5-3.5""' has no SKU assigned. Name: 'CF 5-3.5""'.",Assign correct SKU to this schematic hotspot part entry.
FA 271,FA 271,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json, FinishingBoxes/AutomaticFlatBox/schematic_data.json, FinishingBoxes/FatBoyBox/schematic_data.json, FinishingBoxes/FlatBox/schematic_data.json, Nailspotters/Nailspotter/schematic_data.json, Pumps/MudPump/schematic_data.json, SmoothingBlades/TomahawkSmoothingBlades/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA 271' has no SKU assigned. Name: 'FA 271'.,Assign correct SKU to this schematic hotspot part entry.
CF 1C,CF 1C,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 1C' has no SKU assigned. Name: 'CF 1C'.,Assign correct SKU to this schematic hotspot part entry.
CF 2,CF 2,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 2' has no SKU assigned. Name: 'CF 2'.,Assign correct SKU to this schematic hotspot part entry.
CF 6,CF 6,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 6' has no SKU assigned. Name: 'CF 6'.,Assign correct SKU to this schematic hotspot part entry.
FA 326,FA 326,Schematic (CornerFlushers/ComboFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA 326' has no SKU assigned. Name: 'FA 326'.,Assign correct SKU to this schematic hotspot part entry.
CF 8,CF 8,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 8' has no SKU assigned. Name: 'CF 8'.,Assign correct SKU to this schematic hotspot part entry.
CF 7,CF 7,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 7' has no SKU assigned. Name: 'CF 7'.,Assign correct SKU to this schematic hotspot part entry.
CF 3A,CF 3A,"Schematic (CornerFlushers/ComboFlusher/schematic_data.json, CornerFlushers/DirectCornerFlusher/schematic_data.json, CornerFlushers/StandardCornerFlusher/schematic_data.json)",Not Implemented,Schematic hotspot part_id='CF 3A' has no SKU assigned. Name: 'CF 3A'.,Assign correct SKU to this schematic hotspot part entry.
CF 5.3.S,CF 5.3.S,Schematic (CornerFlushers/DirectCornerFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='CF 5.3.S' has no SKU assigned. Name: 'CF 5.3.S'.,Assign correct SKU to this schematic hotspot part entry.
CF TA,CF TA,Schematic (CornerFlushers/DirectCornerFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='CF TA' has no SKU assigned. Name: 'CF TA'.,Assign correct SKU to this schematic hotspot part entry.
CF 38,CF 38,Schematic (CornerFlushers/DirectCornerFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='CF 38' has no SKU assigned. Name: 'CF 38'.,Assign correct SKU to this schematic hotspot part entry.
"CF 15-3.5""","CF 15-3.5""",Schematic (CornerFlushers/DirectCornerFlusher/schematic_data.json),Not Implemented,"Schematic hotspot part_id='CF 15-3.5""' has no SKU assigned. Name: 'CF 15-3.5""'.",Assign correct SKU to this schematic hotspot part entry.
FA S26,FA S26,Schematic (CornerFlushers/DirectCornerFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA S26' has no SKU assigned. Name: 'FA S26'.,Assign correct SKU to this schematic hotspot part entry.
CF1A,CF1A,Schematic (CornerFlushers/StandardCornerFlusher/schematic_data.json),Not Implemented,Schematic hotspot part_id='CF1A' has no SKU assigned. Name: 'CF1A'.,Assign correct SKU to this schematic hotspot part entry.
FA358,FA358,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA358' has no SKU assigned. Name: 'FA358'.,Assign correct SKU to this schematic hotspot part entry.
FA355,FA355,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA355' has no SKU assigned. Name: 'FA355'.,Assign correct SKU to this schematic hotspot part entry.
HH21,HH21,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='HH21' has no SKU assigned. Name: 'HH21'.,Assign correct SKU to this schematic hotspot part entry.
FA28,FA28,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA28' has no SKU assigned. Name: 'FA28'.,Assign correct SKU to this schematic hotspot part entry.
FA359,FA359,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA359' has no SKU assigned. Name: 'FA359'.,Assign correct SKU to this schematic hotspot part entry.
FA360,FA360,Schematic (CornerRollers/CornerCobra/schematic_data.json),Not Implemented,Schematic hotspot part_id='FA360' has no SKU assigned. Name: 'FA360'.,Assign correct SKU to this schematic hotspot part entry.
FA 299,FA 299,"Schematic (CornerRollers/InsideCornerRoller/schematic_data.json, CornerRollers/StandardOutsideCornerRoller/schematic_data.json)",Not Implemented,Schematic hotspot part_id='FA 299' has no SKU assigned. Name: 'FA 299'.,Assign correct SKU to this schematic hotspot part entry.
OCR 2B,OCR 2B,Schematic (CornerRollers/StandardOutsideCornerRoller/schematic_data.json),Not Implemented,Schematic hotspot part_id='OCR 2B' has no SKU assigned. Name: 'OCR 2B'.,Assign correct SKU to this schematic hotspot part entry.
OCR 3,OCR 3,Schematic (CornerRollers/StandardOutsideCornerRoller/schematic_data.json),Not Implemented,Schematic hotspot part_id='OCR 3' has no SKU assigned. Name: 'OCR 3'.,Assign correct SKU to this schematic hotspot part entry.
OCR 6,OCR 6,Schematic (CornerRollers/StandardOutsideCornerRoller/schematic_data.json),Not Implemented,Schematic hotspot part_id='OCR 6' has no SKU assigned. Name: 'OCR 6'.,Assign correct SKU to this schematic hotspot part entry.
OCR 1,OCR 1,Schematic (CornerRollers/StandardOutsideCornerRoller/schematic_data.json),Not Implemented,Schematic hotspot part_id='OCR 1' has no SKU assigned. Name: 'OCR 1'.,Assign correct SKU to this schematic hotspot part entry.
